hazardous_situation_id,critical_qualitative,moderate_qualitative,minor_qualitative,critical_semi_quantitative,moderate_semi_quantitative,minor_semi_quantitative,probability_of_hazardous_situation_(p1),critical,moderate,minor,critical_pharm_qualitative,moderate_pharm_qualitative,minor_pharm_qualitative
HS.PIT.1.4,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.1.5,Rare,Occasional,Expected,NUL,NUL,NUL,1,2,3,7,NUL,NUL,NUL
HS.PIT.1.6,Occasional,Expected,Exceptional,NUL,NUL,NUL,1,3,7,1,NUL,NUL,NUL
HS.PIT.1.7,Expected,Rare,Exceptional,NUL,NUL,NUL,1,7,2,1,NUL,NUL,NUL
HS.PIT.10.1,Exceptional,Exceptional,Expected,NUL,NUL,NUL,2,2,2,14,NUL,NUL,NUL
HS.PIT.10.2,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.10.3,Occasional,Likely,Expected,NUL,NUL,NUL,1,3,6,7,NUL,NUL,NUL
HS.PIT.11.1,Exceptional,Exceptional,Expected,NUL,NUL,NUL,3,3,3,21,NUL,NUL,NUL
HS.PIT.11.10,N/A,Exceptional,Expected,NUL,NUL,NUL,1,N/A,1,7,NUL,NUL,NUL
HS.PIT.11.3,Rare,Occasional,Expected,NUL,NUL,NUL,1,2,3,7,NUL,NUL,NUL
HS.PIT.11.4,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.11.5,N/A,Rare,Expected,NUL,NUL,NUL,1,N/A,2,7,NUL,NUL,NUL
HS.PIT.11.6,N/A,Exceptional,Expected,NUL,NUL,NUL,1,N/A,1,7,NUL,NUL,NUL
HS.PIT.11.7,Occasional,Occasional,Expected,NUL,NUL,NUL,1,3,3,7,NUL,NUL,NUL
HS.PIT.11.8,Rare,Rare,Expected,NUL,NUL,NUL,1,2,2,7,NUL,NUL,NUL
HS.PIT.11.9,Exceptional,Exceptional,Expected,NUL,NUL,NUL,1,1,1,7,NUL,NUL,NUL
HS.PIT.13.1,N/A,Exceptional,Expected,NUL,NUL,NUL,1,N/A,1,7,NUL,NUL,NUL
HS.PIT.13.2,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.13.3,Occasional,Likely,Expected,NUL,NUL,NUL,1,3,6,7,NUL,NUL,NUL
HS.PIT.13.4,Periodic,Expected,Occasional,NUL,NUL,NUL,1,4,7,3,NUL,NUL,NUL
HS.PIT.13.5,N/A,Exceptional,Expected,NUL,NUL,NUL,2,N/A,2,14,NUL,NUL,NUL
HS.PIT.13.6,Exceptional,Rare,Expected,NUL,NUL,NUL,2,2,4,14,NUL,NUL,NUL
HS.PIT.13.7,Occasional,Expected,Periodic,NUL,NUL,NUL,2,6,14,8,NUL,NUL,NUL
HS.PIT.14.1,Occasional,Expected,Periodic,NUL,NUL,NUL,2,6,14,8,NUL,NUL,NUL
HS.PIT.15.1,Occasional,Expected,Occasional,NUL,NUL,NUL,1,3,7,3,NUL,NUL,NUL
HS.PIT.16.1,N/A,Exceptional,Expected,NUL,NUL,NUL,2,N/A,2,14,NUL,NUL,NUL
HS.PIT.16.2,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.16.3,Occasional,Expected,Periodic,NUL,NUL,NUL,1,3,7,4,NUL,NUL,NUL
HS.PIT.18.1,Rare,Rare,Expected,NUL,NUL,NUL,1,2,2,7,NUL,NUL,NUL
HS.PIT.18.2,Occasional,Often,Expected,NUL,NUL,NUL,1,3,5,7,NUL,NUL,NUL
HS.PIT.18.3,Often,Expected,Rare,NUL,NUL,NUL,1,5,7,2,NUL,NUL,NUL
HS.PIT.18.4,Likely,Expected,N/A,NUL,NUL,NUL,1,6,7,N/A,NUL,NUL,NUL
HS.PIT.18.5,Expected,Periodic,N/A,NUL,NUL,NUL,1,7,4,N/A,NUL,NUL,NUL
HS.PIT.19.1,N/A,Exceptional,Expected,NUL,NUL,NUL,2,N/A,2,14,NUL,NUL,NUL
HS.PIT.2.1,Occasional,Expected,Often,NUL,NUL,NUL,1,3,7,5,NUL,NUL,NUL
HS.PIT.20.3,Rare,Occasional,Expected,NUL,NUL,NUL,1,2,3,7,NUL,NUL,NUL
HS.PIT.21.3,Occasional,Periodic,Expected,NUL,NUL,NUL,2,6,8,14,NUL,NUL,NUL
HS.PIT.21.4,Periodic,Expected,Occasional,NUL,NUL,NUL,2,8,14,6,NUL,NUL,NUL
HS.PIT.21.5,Often,Expected,Rare,NUL,NUL,NUL,2,10,14,4,NUL,NUL,NUL
HS.PIT.22.1,Occasional,Expected,Rare,NUL,NUL,NUL,1,3,7,2,NUL,NUL,NUL
HS.PIT.22.2,Rare,Occasional,Expected,NUL,NUL,NUL,1,2,3,7,NUL,NUL,NUL
HS.PIT.23.1,Exceptional,Exceptional,Expected,NUL,NUL,NUL,2,2,2,14,NUL,NUL,NUL
HS.PIT.23.2,Occasional,Expected,Periodic,NUL,NUL,NUL,1,3,7,4,NUL,NUL,NUL
HS.PIT.24.1,Exceptional,Periodic,Expected,NUL,NUL,NUL,2,2,8,14,NUL,NUL,NUL
HS.PIT.27.1,Occasional,Expected,Often,NUL,NUL,NUL,1,3,7,5,NUL,NUL,NUL
HS.PIT.27.3,N/A,Rare,Expected,NUL,NUL,NUL,1,N/A,2,7,NUL,NUL,NUL
HS.PIT.27.4,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.27.6,N/A,Occasional,Expected,NUL,NUL,NUL,2,N/A,6,14,NUL,NUL,NUL
HS.PIT.27.7,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.27.8,Rare,Periodic,Expected,NUL,NUL,NUL,2,4,8,14,NUL,NUL,NUL
HS.PIT.27.9,Rare,Likely,Expected,NUL,NUL,NUL,1,2,6,7,NUL,NUL,NUL
HS.PIT.28.1,Often,Expected,Rare,NUL,NUL,NUL,2,10,14,4,NUL,NUL,NUL
HS.PIT.3.1,Exceptional,Rare,Expected,NUL,NUL,NUL,1,1,2,7,NUL,NUL,NUL
HS.PIT.3.2,Occasional,Expected,Occasional,NUL,NUL,NUL,1,3,7,3,NUL,NUL,NUL
HS.PIT.3.3,Likely,Expected,N/A,NUL,NUL,NUL,1,6,7,N/A,NUL,NUL,NUL
HS.PIT.3.4,Expected,Rare,N/A,NUL,NUL,NUL,1,7,2,N/A,NUL,NUL,NUL
HS.PIT.4.1,Expected,N/A,N/A,NUL,NUL,NUL,1,7,N/A,N/A,NUL,NUL,NUL
HS.PIT.5.1,Rare,Rare,Expected,NUL,NUL,NUL,3,6,6,21,NUL,NUL,NUL
HS.PIT.5.2,Occasional,Often,Expected,NUL,NUL,NUL,3,9,15,21,NUL,NUL,NUL
HS.PIT.5.3,Often,Expected,Rare,NUL,NUL,NUL,3,15,21,6,NUL,NUL,NUL
